name,location,phone,image,facilities,doctors
Evercare Hospital,Dhaka,01713047447,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=600,24/7 Emergency;ICU;NICU;Cardiac Care;Ambulance;Pharmacy,Dr. Ahmed - Cardiology (Sat-Mon 10AM);Dr. Rahman - Medicine (Sun-Wed 4PM);Prof. Sultana - Pediatrics (Tue-Thu 2PM)
Square Hospital,Dhaka,01713332444,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=600,Blood Bank;CT Scan;MRI;ICU;Dialysis Center;Emergency,Dr. Khan - Neurology (Mon-Thu 9AM);Dr. Yasmin - Gynecology (Fri 5PM);Dr. Chowdhury - Orthopedics (Sat-Wed 11AM)
United Hospital,Dhaka,01914001234,https://images.unsplash.com/photo-1586773860418-d37222d8fce3?q=80&w=600,Emergency;CCU;Trauma Center;Outpatient Clinic;Lab Test,Dr. Alam - Nephrology (Sun-Tue 9AM);Dr. Haque - General Surgery (Mon-Wed 5PM)
Apollo Clinic,Chattogram,01819123456,https://images.unsplash.com/photo-1629909613654-28e377c37b09?q=80&w=600,Diagnostic Lab;X-Ray;24/7 Pharmacy;Consultation Rooms,Dr. Karim - ENT (Sat-Mon 5PM);Dr. Begum - Dermatology (Tue-Thu 10AM)
Noakhali General Hospital,Noakhali,01815987654,https://images.unsplash.com/photo-1632833239869-a37e31580662?q=80&w=600,General Ward;Emergency;Maternity Care;Blood Donation,Dr. Islam - General Physician (Daily 9AM-2PM);Dr. Uddin - Surgery (Mon-Wed 4PM)
Sylhet Osmani Medical,Sylhet,01711223344,https://images.unsplash.com/photo-1516549655169-df83a0774514?q=80&w=600,Burn Unit;ICU;CCU;政府 rX-Ray;24/7 Emergency,Dr. Talukder - Oncology (Sat-Wed 10AM);Dr. Das - Psychiatry (Sun-Tue 3PM)
Rajshahi Medical College Hospital,Rajshahi,01712556677,https://images.unsplash.com/photo-1579684389782-64d84b5e901a?q=80&w=600,Emergency;ICU;Pediatric Ward;Blood Bank,Dr. Saha - Gastroenterology (Mon-Thu 11AM);Dr. Ali - Urology (Tue-Fri 4PM)
Dhaka Medical College Hospital,Dhaka,01711224455,https://images.unsplash.com/photo-1586773860418-d37222d8fce3?q=80&w=600,24/7 Emergency;ICU;CCU;NICU;Blood Bank;Burn Unit;Ambulance,Dr. Rahman - Medicine (Sun-Tue 9AM);Dr. Roy - Surgery (Mon-Wed 2PM);Dr. Chowdhury - Pediatrics (Daily 10AM)
Sir Salimullah Medical College Hospital,Dhaka,01715667788,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=600,Emergency;General Ward;OT;Maternity Care;X-Ray;Pathology,Dr. Ahmed - Cardiology (Sat-Mon 9AM);Dr. Begum - Gynecology (Sun-Wed 4PM)
Shaheed Suhrawardy Medical College,Dhaka,01819334455,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=600,ICU;CCU;Dialysis;Emergency;Outdoor Clinic;Pharmacy,Dr. Hasan - Orthopedics (Mon-Thu 10AM);Dr. Sultana - ENT (Sat-Wed 3PM)
